"ID"	"coopID"	"long"	"lat"	"alt"	"state"	"name"	"param1"	"param2"
357	160205	-90.525	30.7094	51.8	"LA"	"AMITE"	2.69702776848628	190.004014912008
361	161411	-92.3478	32.5133	54.9	"LA"	"CALHOUN"	3.34251082961996	270.992477338506
366	164407	-90.7303	29.5858	4.6	"LA"	"HOUMA"	1.00194794772506	36.0586761536033
358	160537	-92.0056	32.7689	45.7	"LA"	"BASTROP"	2.78322972417037	234.728042260184
361	161411	-92.3478	32.5133	54.9	"LA"	"CALHOUN"	3.34251082961996	270.992477338506
373	169806	-91.7019	32.0994	24.4	"LA"	"WINNSBORO"	2.2368732627419	202.589604616871
475	221389	-90.0361	32.6714	76.2	"MS"	"CANTON"	2.74786226857145	234.966490630507
502	229860	-90.3817	32.9028	32.6	"MS"	"YAZOO"	2.8698349842495	248.956421464161
486	224776	-89.5797	33.0583	125	"MS"	"KOSCIUSKO"	2.69549742482062	266.996907695792
348	153028	-84.8825	38.2022	140.8	"KY"	"FRANKFORT"	2.62196699357519	289.533450195292
355	158714	-84.6106	38.6586	286.5	"KY"	"WILLIAMSTOWN"	2.32919690152012	317.929796235278
345	150619	-84.2908	37.5733	326.1	"KY"	"BEREA"	3.22224709112785	356.358743652645
353	157324	-85.2	38.2	222.5	"KY"	"SHELBYVILLE"	2.80966582209903	348.586683496348
348	153028	-84.8825	38.2022	140.8	"KY"	"FRANKFORT"	2.62196699357519	289.533450195292
355	158714	-84.6106	38.6586	286.5	"KY"	"WILLIAMSTOWN"	2.32919690152012	317.929796235278
148	82850	-81.3897	25.8489	1.5	"FL"	"EVERGLADES"	1.530334	40.125636
151	83163	-80.2011	26.1019	4.9	"FL"	"FT"	3.368526	173.513278
146	80611	-80.6711	26.6928	6.1	"FL"	"BELLE"	3.066361	178.032322
988	406371	-86.3728	35.9203	163.1	"TN"	"MURFREESBORO"	2.8282455282852	349.806238158054
979	401790	-87.3567	36.5467	116.4	"TN"	"CLARKSVILLE"	2.39294242254352	343.564888987456
993	409502	-87.7592	35.3042	228.6	"TN"	"WAYNESBORO"	2.39022463817883	306.150971454582
984	402589	-87.8628	36.4819	144.8	"TN"	"DOVER"	0.804668488517876	31.29682605917
979	401790	-87.3567	36.5467	116.4	"TN"	"CLARKSVILLE"	2.39294242254352	343.564888987456
983	402489	-87.3936	36.0747	237.7	"TN"	"DICKSON"	1.97754431750584	282.556837326869
